Fingerprint Sensor,Item_name,Warranty Period(Days),RAM type,Screen Size,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Label of Model,Label number
0,Dell Inspiron 5570 Notebook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,800,Dell Inspiron 5570 Notebook,
0,Dell Latitude 5590 Ultrabook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i7 8650U 1.9GHz,8,256GB SSD + 256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1298,Dell Latitude 5590 Ultrabook,
0,HP ProBook 470 Notebook,1,DDR-SDRAM_(DDRRAM),17.3,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,896,,
0,"Chuwi LapBook 15.6"" Notebook",1,DDR-SDRAM_(DDRRAM),15.6,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,244.99,,
0,Asus E402WA-GA010T (E2-6110/2GB/32GB/W10) Notebook,1,DDR2,14,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,199,,
0,HP 17-ak001nv (A6-9220/4GB/500GB/Radeon Notebook,1,DDR-SDRAM_(DDRRAM),17.3,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,Windows 10,2.71,439,,
0,Dell XPS 13 Ultrabook,1,DDR-SDRAM_(DDRRAM),13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1869,Dell XPS 13 Ultrabook,
1,Apple MacBook Air Ultrabook,1,DDR2,13.3,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,998,,
1,Lenovo IdeaPad 120S-14IAP Notebook,1,DDR2,14,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,249,,
1,Acer Aspire 3 Notebook,1,DDR2,15.6,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,Linux,2.1,367,,
1,Dell Inspiron 5770 Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD + 1TB HDD,AMD Radeon 530,Windows 10,2.8,979,Dell Inspiron 5770 Notebook,
1,HP 250 G6 Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,488.69,,
1,HP ProBook 450 Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.1,879,,
0,Asus X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux) Notebook,3,DDR2,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,Linux,2,389,,
0,Dell Inspiron 7577 Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,1499,Dell Inspiron 7577 Gaming,
1,Asus X542UQ-GO005 (i5-20U/8GB/1TB/GeForce Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,522.99,,
0,Acer Aspire A515-51G Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,682,,
0,Dell Inspiron 7773 2 in 1 Convertible,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,999,Dell Inspiron 7773 2 in 1 Convertible,
0,Apple MacBook Pro Ultrabook,1,DDR2,13.3,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,1.37,1419,,
0,Lenovo IdeaPad 320-15ISK Notebook,2,DDR2,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,2.2,369,,
0,Asus Rog Strix Gaming,2,DDR2,17.3,AMD Ryzen 1700 3GHz,8,256GB SSD + 1TB HDD,AMD Radeon RX 580,Windows 10,3.2,1299,,
1,Dell Inspiron 3567 Notebook,2,DDR2,15.6,Intel Core i5 20U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,639,Dell Inspiron 3567 Notebook,
0,Asus X751NV-TY001T (N4200/4GB/1TB/GeForce Notebook,2,DDR2,17.3,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,466,,
1,Lenovo Yoga Book 2 in 1 Convertible,1,DDR2,10.1,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,319,,
0,Acer Aspire A515-51G Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,841,,
1,HP 255 G6 Notebook,1,DDR2,15.6,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,,
0,HP ProBook 430 Notebook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1103,,
1,Acer Aspire 3 Notebook,1,DDR2,15.6,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.4,384,,
1,Dell Inspiron 3576 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,767.8,Dell Inspiron 3576 Notebook,
0,HP 15-bs002nv (i3-6006U/4GB/128GB/FHD/W10) Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.91,439,,
0,Asus VivoBook Max Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,2,586.19,,
1,MSI GS73VR 7RG Gaming,3,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,2449,,
0,Asus X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux) Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,Linux,2,415,,
1,Dell Inspiron 5770 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,16,256GB SSD + 2TB HDD,AMD Radeon 530,Windows 10,2.8,1299,Dell Inspiron 5770 Notebook,
0,Dell Vostro 5471 Ultrabook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7,879,Dell Vostro 5471 Ultrabook,
0,Lenovo IdeaPad 520S-14IKB Notebook,1,DDR2,14,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.7,599,,
1,Asus UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10) Notebook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,941,,
0,HP 250 G6 Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,690,,
0,Asus ZenBook Pro Ultrabook,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983,,
0,HP 250 G6 Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,Windows 10,1.86,438.69,,
1,HP Stream 14-AX040wm Notebook,3,DDR2,14,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,Windows 10,1.44,229,,
1,Lenovo V310-15ISK (i5-20U/4GB/1TB/FHD/W10) Notebook,3,DDR2,15.6,Intel Core i5 20U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,549,,
1,Asus FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce Gaming,3,DDR2,17.3,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3,949,,
0,Microsoft Surface Laptop Ultrabook,1,DDR2,13.5,Intel Core i5 20U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,1089,,
0,Dell Inspiron 5370 Ultrabook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,955,Dell Inspiron 5370 Ultrabook,
1,Dell Inspiron 5570 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,870,Dell Inspiron 5570 Notebook,
1,MSI GL72M 7RDX Gaming,3,DDR2,17.3,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,3,,
0,Acer Aspire E5-475 Notebook,3,DDR2,14,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.1,389,,
1,Asus FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce Gaming,3,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,949,,
1,Lenovo IdeaPad 320-15IKBN Notebook,3,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,No OS,2.2,519,,
0,Dell Inspiron 5570 Notebook,3,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,128GB SSD + 1TB HDD,Intel UHD Graphics 620,Windows 10,2.02,855,Dell Inspiron 5570 Notebook,
0,Acer Aspire A515-51G-32MX Notebook,1,DDR2,15.6,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,530,,
0,HP ProBook 470 Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,977,,
0,Dell Latitude 5590 Ultrabook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1096.16,Dell Latitude 5590 Ultrabook,
0,"Apple MacBook 12"" Ultrabook",1,DDR2,12,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,0.92,1510,,
0,HP ProBook 440 Notebook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,860,,
1,Lenovo IdeaPad 320-15AST Notebook,1,DDR2,15.6,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows 10,2.2,399,,
1,Acer Aspire 3 Notebook,1,DDR2,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,Windows 10,2.1,395,,
0,Dell Inspiron 7577 Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349,,
0,HP Pavilion 15-CK000nv Ultrabook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,699,,
1,HP 250 G6 Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,598.99,,
1,Asus FX503VM-E4007T (i7-7700HQ/16GB/1TB Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,1449,,
1,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1649,,
1,Asus FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon Gaming,3,DDR2,15.6,AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,Windows 10,2.45,699,,
1,Acer Aspire 5 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,689,,
1,HP Probook 430 Notebook,1,DDR2,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1197,,
0,Dell Inspiron 7577 Gaming,3,DDR2,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,1195,,
1,Asus Zenbook UX430UA Ultrabook,1,DDR2,14,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.25,1049,,
1,Acer Spin 5 2 in 1 Convertible,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,847,,
1,Dell Inspiron 3567 Notebook,3,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,Linux,2.2,599.9,,
1,Dell Inspiron 3567 Notebook,3,DDR2,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Linux,2.2,485,,
0,Asus X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce Notebook,3,DDR2,15.6,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,Windows 10,2,577,,
0,HP Omen 15-ce007nv Gaming,3,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,1249,,
1,HP 15-bs017nv (i7-7500U/8GB/256GB/Radeon Notebook,3,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.91,719,,
1,HP 15-bw000nv (E2-9000e/4GB/500GB/Radeon Notebook,3,DDR2,15.6,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,349,,
1,Dell Inspiron 3576 Notebook,1,DDR2,15.6,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,Linux,2.2,647,,
1,HP Envy 13-ad009n Ultrabook,1,DDR2,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38,1119,,
1,Microsoft Surface Laptop Ultrabook,3,DDR2,13.5,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,1340,,
1,HP Pavilion 14-BK001nv Notebook,3,DDR2,14,Intel Core i5 20U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58,659,,
1,Lenovo Ideapad 310-15ISK Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,1.85,414.9,,
1,Asus UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce Ultrabook,3,DDR2,14,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,1193,,
1,MSI GP62M 7REX Gaming,3,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299,,
1,Lenovo Thinkpad T470 Notebook,3,DDR2,14,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.58,1480,,
1,Asus VivoBook S15 Ultrabook,3,DDR2,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD + 1TB HDD,Nvidia GeForce MX150,Windows 10,1.5,1262,,
0,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,1379,,
0,Lenovo ThinkPad Yoga 2 in 1 Convertible,1,DDR2,13.3,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.37,1399,,
0,HP Probook 440 Notebook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.63,722,,
0,Dell XPS 13 Ultrabook,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1629,,
0,HP Spectre x360 2 in 1 Convertible,1,DDR2,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.26,1398.99,,
1,HP Probook 440 Notebook,1,DDR2,14,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63,1084,,
0,Dell Inspiron 7570 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD + 1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16,1130.33,,
0,Asus X705UV-BX074T (i3-6006U/4GB/1TB/GeForce Notebook,1,DDR2,17.3,Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2,564,,
1,Asus VivoBook S15 Notebook,1,DDR2,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,1118,,
0,Acer Spin 3 Notebook,1,DDR2,15.6,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,Windows 10,2.1,479,,
0,MSI GS63VR 7RG Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD + 2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,2241.5,,
0,Lenovo IdeaPad 320-15IKBN Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,629,,
1,HP Probook 470 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX,Windows 10,2.5,1271,,
0,Acer Aspire 3 Notebook,1,DDR2,15.6,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,Windows 10,2.1,451,,
0,HP 250 G6 Notebook,1,DDR2,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,No OS,1.86,259,,
0,HP Probook 440 Notebook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,Windows 10,1.63,812,,
0,Asus E402WA-GA007T (E2-6110/4GB/64GB/W10 Notebook,1,DDR2,14,AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,Windows 10 S,1.65,277.99,,
0,Dell Inspiron 5770 Notebook,1,DDR2,17.3,Intel Core i7 8550U 1.8GHz,16,256GB SSD + 2TB HDD,AMD Radeon 530,Windows 10,2.8,1396,,
0,HP ProBook 470 Notebook,1,DDR2,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.5,928,,
0,Dell Inspiron 5567 Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,638.99,,
1,Dell Inspiron 3567 Notebook,1,DDR2,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,449,,
0,Acer Swift 3 Ultrabook,1,DDR2,14,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,884,,
1,Acer Aspire A515-51G-37JS Notebook,1,DDR2,15.6,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,Windows 10,2.2,572,,
1,HP 15-BS078nr (i7-7500U/8GB/1TB/W10) Notebook,1,DDR2,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.05,598,,
1,HP Probook 440 Notebook,1,DDR2,14,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.63,988,,
0,Lenovo V110-15IAP (N3350/4GB/1TB/No Notebook,1,DDR2,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,No OS,1.9,252.36,,
0,Asus FX753VD-GC086T (i5-7300HQ/8GB/1TB Gaming,1,DDR2,17.3,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3,938,,
0,Lenovo IdeaPad 320-15IKBN Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,No OS,2.2,499,,
0,HP Envy 13-AD007nv Notebook,1,DDR2,13.3,Intel Core i5 20U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,1.32,699,,
0,Acer Aspire 5 Notebook,1,DDR2,17.3,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows 10,3,655,,
0,Lenovo ThinkPad E480 Notebook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon RX 550,Windows 10,1.75,1116.02,,
1,Lenovo Legion Y520-15IKBN Gaming,1,DDR2,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050M,No OS,2.4,869,,
1,Toshiba Satellite Pro Notebook,1,DDR2,15.6,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,Windows 10,2.1,602,,
1,HP 255 G6 Notebook,1,DDR2,15.6,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,369,,
1,Asus ZenBook UX430UA Ultrabook,1,DDR2,14,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.25,1099,,
0,HP EliteBook Folio Ultrabook,1,DDR2,12.5,Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,Windows 10,0.97,2014,,
0,Asus X541NA (N3350/4GB/1TB/FHD/W10) Notebook,1,DDR2,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,Windows 10,2,344,,
